,text
47,"@sa_vadorr But “عايشه"" looks prettier 🥺"
48,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
49,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
50,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
51,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
52,RT @sa_vadorr: كل يوم اتأكد اكثر ان النساء للنساء، التقيت بكذا امرأة هنا، وكل ما وحده شاركت معاناتها اجتمعنا على بعض، وضمينا بعض، وسمعنا لب…
53,RT @sa_vadorr: كل يوم اتأكد اكثر ان النساء للنساء، التقيت بكذا امرأة هنا، وكل ما وحده شاركت معاناتها اجتمعنا على بعض، وضمينا بعض، وسمعنا لب…
54,"RT @sa_vadorr: يا عيني!، الجديد الان انه عندما تسافر قطرية حتى مع ""تصريح سفر"" من ولي الامر، يطلبون منها الاتصال بأخوها أو ابوها لأثبات انها…"
55,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
56,"RT @sa_vadorr: اقبل بكلمة ""عقبالج"" فقط في السياق الاكاديمي."
57,"@sa_vadorr أعجب حينما أرى المماليك يدعون إلى الحريه
نحن نعلم وانتي تعلمين اننا نعلم
انكي في قعر العبوديه
الغربيون الذين ترينهم مصدر الحريه منشغلون بأنفسهم
وانتي ومن هم مثلك انشغلتم بمجتمعاتنا
هل تعلمين لماذا؟
لأنكِ أداة يحركها أعداء الإسلام لمحاولة تشويه المجتمعات الإسلاميه
لاتدّعّون الحريه"
58,@sa_vadorr فضيحه على رووس الخلايق الله ياخذ نفسك عاجل غير اجل.
59,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
60,@sa_vadorr ستعضين اصابع الندم ، عندها تعرفين قيمه العائله وقيمه احترام الدين ، وقيمه الاستقرار النفسي والجسدي ، لسا مع بدايه الطريق ويكثر المطبلون لك ، وفي الاخير خسرت كل شي ولا خط للرجعه ، لن ينفعك الظهور الاعلامي ستلعنين ان اله او منصه اعلاميه لانها اعطتك الفرصه لتهويل الموضوع حتي خسرتي .
61,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
62,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
63,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
64,@sa_vadorr مشاء الله لاحظت انه بعض نوعيات اعلام عزمي ما عجبه خروجك و مطالبتك الحريه لكن لو انك سعوديه كان اليل نهار اعلام جزيره و غيره من مرتزقه تنبح علينا
65,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
66,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
67,RT @sa_vadorr: اما الان فأستطيع ان اكون صوت للواتي يردن ان يشاركن ما تعرضوا له من تحييز جنسي من قبل القوانين التي تتمايز بناء على جنس الموا…
68,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
69,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
70,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
71,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
72,RT @sa_vadorr: اما الان فأستطيع ان اكون صوت للواتي يردن ان يشاركن ما تعرضوا له من تحييز جنسي من قبل القوانين التي تتمايز بناء على جنس الموا…
73,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
74,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
75,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
76,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
77,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
78,RT @sa_vadorr: كل يوم اتأكد اكثر ان النساء للنساء، التقيت بكذا امرأة هنا، وكل ما وحده شاركت معاناتها اجتمعنا على بعض، وضمينا بعض، وسمعنا لب…
79,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
80,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
81,"@sa_vadorr @Spark93e Pretty wish you the best
Please be safe"
82,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
83,"@sa_vadorr @SD_freedom_ جميع اللواتي يخرجن عن اوطانهن
بهدف البحث عن الحريّه 
يبدأن بنزع الضوابط الشرعيه
يعدنَ إلى التواصل المستمر مع مجتمعاتهم بقمعيه وتجرد من مبدأ الحريه الذي كانن يبحثت عنه
وهذا يدل على انهن مجندات وابواق ستنتهي فائدتها يوماً وترمى جانباً"
84,"@sa_vadorr A narrow-minded lady.
""Who thinks her hijab is a barrier of freedom""."
85,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
86,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
87,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
88,@sa_vadorr Its true
89,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
90,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
91,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
92,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
93,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
94,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
95,@sa_vadorr احسب اخواني  🤣🙃
96,"@sa_vadorr It was never a must, covering your face was your choice. https://t.co/S3eanJGJ1h"
97,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
98,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
99,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
100,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
101,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
102,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
103,@sa_vadorr بتستبردين وبتغطين وبتذكرين ... والله يهديك الى السراط المستقيم
104,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
105,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
106,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
107,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
108,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
109,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
110,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
111,RT @sa_vadorr: فبدلا من الاستمرار بوضع قوانين تحد من حرية الرأي، يجب إعادة النظر لوضع النساء في قطر، والتفاوض مع من يرون ان هناك فائدة من ا…
112,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
113,@sa_vadorr That's good.That is a kind of your emancipation.
114,RT @sa_vadorr: فبدلا من الاستمرار بوضع قوانين تحد من حرية الرأي، يجب إعادة النظر لوضع النساء في قطر، والتفاوض مع من يرون ان هناك فائدة من ا…
115,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
116,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
117,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
118,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
119,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
120,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
121,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
122,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
123,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
124,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
125,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
126,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
127,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
128,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
129,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
130,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
131,RT @sa_vadorr: خذ حقك بيدك محد راح يعطيك اياه، البشر لو عليهم خذوا حقك في التنفس حتى، ووضعوا عليه ضريبة.
132,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
133,"@sa_vadorr Oh such a beautiful person,divine."
134,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
135,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
136,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
137,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
138,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
139,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
140,@sa_vadorr امحق بنت في ذمتي ... قعدي مكانج لين تعفنين ووالديج غضبانين عليج ... بس الخساره انج بنت قبيله لها صيتها جعلج العفن
141,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
142,RT @sa_vadorr: كل يوم اتأكد اكثر ان النساء للنساء، التقيت بكذا امرأة هنا، وكل ما وحده شاركت معاناتها اجتمعنا على بعض، وضمينا بعض، وسمعنا لب…
143,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
144,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
145,"RT @sa_vadorr: لا تسأل المعنف/ة ""ليش شسويتوا علشان تتعنفون""، لا يوجد مبرر للعنف، مهما فعل الشخص لا يوجد ""اسباب""، لا يوجد اي سناريو يبيح الع…"
146,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
147,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
148,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
149,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
150,@sa_vadorr قلتي لهم ، انج ساكنه بيت اهلج مجان؟ و انج تعلمتي للجامعة مجان؟ و ان عمرج ما احتجتي تشتغلين عشان تأكلين؟قلتي لهم انج تعيشين في ثاني أأمن مدينة في العالم و انج تتعالجين مجان؟قلت لهم ان القيم الأصيلة عندنا ان الرجل ما يمد يديه على أمرأه لكن مشكلتج انتي شخصية من بيتكم مش الدولة.
151,@sa_vadorr All men should appreciate the beauty of a woman. https://t.co/LMq4yLnHwT.
152,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
153,"@sa_vadorr مافي اي فرض للنقاب  او غيره
ليش الكذب،، كلنا خليجين وعرب"
154,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
155,RT @sa_vadorr: كل يوم اتأكد اكثر ان النساء للنساء، التقيت بكذا امرأة هنا، وكل ما وحده شاركت معاناتها اجتمعنا على بعض، وضمينا بعض، وسمعنا لب…
156,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
157,@sa_vadorr مافي قلبج ذرة رحمه لوضع هلج !! ابوج امج اخوانج ؟؟ ماتتذكرين ايامج وياهم !؟ لا تقولين معنفه وتبربرين بكلام فارغ لان كله خرطي بخرطي 🙂 ويوم سويتي شي يسود الوجه وذلفتي لا تصورين وتنشرين احترمي شيبات ابوج وسمعة هلج الله ياخذج
158,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
159,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
160,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
161,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
162,"@sa_vadorr (وقضى ربك الاتعبدالااياه وبالوالدين احسنا)
(وماخلقت الجن والانس الاليعبدون)
حاولي تكثرين من قول لاحول ولاقوه الابالله وراح تعرفين الصواب من الغلط.."
163,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
164,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
165,@sa_vadorr @heartofafrica_ https://t.co/q71fLTreLB
166,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
167,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
168,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
169,"@sa_vadorr If the cover suppresses you, then please choose out of it. But real life is about doing things that will take it forward - education is number 1 for uncaging yourself, a good job, and marriage to someone who understands and appreciates you and won't drive you back to the cage."
170,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
171,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
172,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
173,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
174,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
175,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
176,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
177,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
178,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
179,@sa_vadorr عقبالي
180,@sa_vadorr @PatharBaaz Yet some say Hijab is a choice.
